Component,Origin,License
core,go.uber.org/multierr,MIT
core,go.uber.org/zap,MIT
core,go.uber.org/zap/buffer,MIT
core,go.uber.org/zap/internal/bufferpool,MIT
core,go.uber.org/zap/internal/color,MIT
core,go.uber.org/zap/internal/exit,MIT
core,go.uber.org/zap/zapcore,MIT
core,golang.org/x/crypto/ssh/terminal,BSD-3-Clause
core,golang.org/x/net/context,BSD-3-Clause
core,golang.org/x/net/context/ctxhttp,BSD-3-Clause
core,golang.org/x/net/http/httpguts,BSD-3-Clause
core,golang.org/x/net/http2,BSD-3-Clause
core,golang.org/x/net/http2/hpack,BSD-3-Clause
core,golang.org/x/net/idna,BSD-3-Clause
core,golang.org/x/oauth2,BSD-3-Clause
core,golang.org/x/oauth2/google,BSD-3-Clause
core,golang.org/x/oauth2/internal,BSD-3-Clause
core,golang.org/x/oauth2/jws,BSD-3-Clause
core,golang.org/x/oauth2/jwt,BSD-3-Clause
core,golang.org/x/sys/unix,BSD-3-Clause
core,golang.org/x/sys/windows,BSD-3-Clause
core,golang.org/x/sys/windows/registry,BSD-3-Clause
core,golang.org/x/sys/windows/svc/eventlog,BSD-3-Clause
core,golang.org/x/text/secure/bidirule,BSD-3-Clause
core,golang.org/x/text/transform,BSD-3-Clause
core,golang.org/x/text/unicode/bidi,BSD-3-Clause
core,golang.org/x/text/unicode/norm,BSD-3-Clause
core,golang.org/x/text/width,BSD-3-Clause
core,golang.org/x/time/rate,BSD-3-Clause
core,golang.org/x/tools/go/ast/astutil,BSD-3-Clause
core,golang.org/x/tools/go/gcexportdata,BSD-3-Clause
core,golang.org/x/tools/go/internal/gcimporter,BSD-3-Clause
core,golang.org/x/tools/go/internal/packagesdriver,BSD-3-Clause
core,golang.org/x/tools/go/packages,BSD-3-Clause
core,golang.org/x/tools/imports,BSD-3-Clause
core,golang.org/x/tools/internal/fastwalk,BSD-3-Clause
core,golang.org/x/tools/internal/gopathwalk,BSD-3-Clause
core,golang.org/x/tools/internal/imports,BSD-3-Clause
core,golang.org/x/tools/internal/module,BSD-3-Clause
core,golang.org/x/tools/internal/semver,BSD-3-Clause
core,gomodules.xyz/jsonpatch/v2,Apache-2.0
core,gonum.org/v1/gonum/blas,BSD-3-Clause
core,gonum.org/v1/gonum/blas/blas64,BSD-3-Clause
core,gonum.org/v1/gonum/blas/cblas128,BSD-3-Clause
core,gonum.org/v1/gonum/blas/gonum,BSD-3-Clause
core,gonum.org/v1/gonum/floats,BSD-3-Clause
core,gonum.org/v1/gonum/graph,BSD-3-Clause
core,gonum.org/v1/gonum/graph/internal/linear,BSD-3-Clause
core,gonum.org/v1/gonum/graph/internal/ordered,BSD-3-Clause
core,gonum.org/v1/gonum/graph/internal/set,BSD-3-Clause
core,gonum.org/v1/gonum/graph/internal/uid,BSD-3-Clause
core,gonum.org/v1/gonum/graph/iterator,BSD-3-Clause
core,gonum.org/v1/gonum/graph/simple,BSD-3-Clause
core,gonum.org/v1/gonum/graph/topo,BSD-3-Clause
core,gonum.org/v1/gonum/graph/traverse,BSD-3-Clause
core,gonum.org/v1/gonum/internal/asm/c128,BSD-3-Clause
core,gonum.org/v1/gonum/internal/asm/c64,BSD-3-Clause
core,gonum.org/v1/gonum/internal/asm/f32,BSD-3-Clause
core,gonum.org/v1/gonum/internal/asm/f64,BSD-3-Clause
core,gonum.org/v1/gonum/internal/cmplx64,BSD-3-Clause
core,gonum.org/v1/gonum/internal/math32,BSD-3-Clause
core,gonum.org/v1/gonum/lapack,BSD-3-Clause
core,gonum.org/v1/gonum/lapack/gonum,BSD-3-Clause
core,gonum.org/v1/gonum/lapack/lapack64,BSD-3-Clause
core,gonum.org/v1/gonum/mat,BSD-3-Clause
core,google.golang.org/appengine,Apache-2.0
core,google.golang.org/appengine/internal,Apache-2.0
core,google.golang.org/appengine/internal/app_identity,Apache-2.0
core,google.golang.org/appengine/internal/base,Apache-2.0
core,google.golang.org/appengine/internal/datastore,Apache-2.0
core,google.golang.org/appengine/internal/log,Apache-2.0
core,google.golang.org/appengine/internal/modules,Apache-2.0
core,google.golang.org/appengine/internal/remote_api,Apache-2.0
core,google.golang.org/appengine/internal/urlfetch,Apache-2.0
core,google.golang.org/appengine/urlfetch,Apache-2.0
core,gopkg.in/alecthomas/kingpin.v2,MIT
core,gopkg.in/fsnotify.v1,BSD-3-Clause
core,gopkg.in/inf.v0,BSD-3-Clause
core,gopkg.in/yaml.v2,Apache-2.0
core,k8s.io/api/admission/v1beta1,Apache-2.0
core,k8s.io/api/admissionregistration/v1beta1,Apache-2.0
core,k8s.io/api/apps/v1,Apache-2.0
core,k8s.io/api/apps/v1beta1,Apache-2.0
core,k8s.io/api/apps/v1beta2,Apache-2.0
core,k8s.io/api/auditregistration/v1alpha1,Apache-2.0
core,k8s.io/api/authentication/v1,Apache-2.0
core,k8s.io/api/authentication/v1beta1,Apache-2.0
core,k8s.io/api/authorization/v1,Apache-2.0
core,k8s.io/api/authorization/v1beta1,Apache-2.0
core,k8s.io/api/autoscaling/v1,Apache-2.0
core,k8s.io/api/autoscaling/v2beta1,Apache-2.0
core,k8s.io/api/autoscaling/v2beta2,Apache-2.0
core,k8s.io/api/batch/v1,Apache-2.0
core,k8s.io/api/batch/v1beta1,Apache-2.0
core,k8s.io/api/batch/v2alpha1,Apache-2.0
core,k8s.io/api/certificates/v1beta1,Apache-2.0
core,k8s.io/api/coordination/v1,Apache-2.0
core,k8s.io/api/coordination/v1beta1,Apache-2.0
core,k8s.io/api/core/v1,Apache-2.0
core,k8s.io/api/events/v1beta1,Apache-2.0
core,k8s.io/api/extensions/v1beta1,Apache-2.0
core,k8s.io/api/networking/v1,Apache-2.0
core,k8s.io/api/networking/v1beta1,Apache-2.0
core,k8s.io/api/node/v1alpha1,Apache-2.0
core,k8s.io/api/node/v1beta1,Apache-2.0
core,k8s.io/api/policy/v1beta1,Apache-2.0
core,k8s.io/api/rbac/v1,Apache-2.0
core,k8s.io/api/rbac/v1alpha1,Apache-2.0
core,k8s.io/api/rbac/v1beta1,Apache-2.0
core,k8s.io/api/scheduling/v1,Apache-2.0
core,k8s.io/api/scheduling/v1alpha1,Apache-2.0
core,k8s.io/api/scheduling/v1beta1,Apache-2.0
core,k8s.io/api/settings/v1alpha1,Apache-2.0
core,k8s.io/api/storage/v1,Apache-2.0
core,k8s.io/api/storage/v1alpha1,Apache-2.0
core,k8s.io/api/storage/v1beta1,Apache-2.0
core,k8s.io/apiextensions-apiserver/pkg/apis/apiextensions,Apache-2.0
core,k8s.io/apiextensions-apiserver/pkg/apis/apiextensions/v1beta1,Apache-2.0
